AreaName,id,name,venuelat,venuelng,category
Earlscourt,4f99e1a3e4b0922288c501b4,Pho Xua,43.674056,-79.461112,Vietnamese Restaurant
Earlscourt,4ee2a1f2e300513517eb2d59,Cùu Long Miên Tây,43.67414183,-79.46051958,Vietnamese Restaurant
Earlscourt,4b891febf964a520161e32e3,Toronto Weston Flea Market,43.67461917,-79.46395305,Flea Market
Earlscourt,4c65fba08e9120a1d6fad664,Pizza Pita Pan,43.673721,-79.46263459,Pizza Place
Earlscourt,508e7804e4b07c9fb24ad926,St Clair Av West at Old weston Rd,43.67359791,-79.46292871,Light Rail Station
Earlscourt,4e788455c65b409c46d14424,TTC Stop #722,43.68095761,-79.45741551,Bus Stop
Earlscourt,4b892ecdf964a5206b2132e3,Sak's Fine Foods,43.68189838,-79.46246978,Food & Drink Shop
Midtown Toronto,4ad4c061f964a5208df720e3,Mistura,43.67428462,-79.39842596,Italian Restaurant
Midtown Toronto,4ba3b7fff964a520f35738e3,Bang & Olufsen Yorkville,43.67483122,-79.39661066,Electronics Store
Midtown Toronto,51b2b4b9498e9cd94288bcc3,Playa Cabana Hacienda,43.67716204,-79.39831483,Mexican Restaurant
Midtown Toronto,4f243306e4b0a93fbea52c9f,Govinda's,43.67702264,-79.39691852,Vegetarian / Vegan Restaurant
Midtown Toronto,4b997fe7f964a520607f35e3,Whole Hearth Bakery & Cafe,43.67200493,-79.39540471,Bakery
Humber Bay,55145325498edf20923651d4,Metro,43.62293671,-79.48269531,Supermarket
Humber Bay,5179a1a2e4b0b721094c563c,Avenue Café + Bistro,43.62420774,-79.48435033,Café
Humber Bay,551486ff498ee91ac6d40f43,Starbucks,43.627931,-79.48928599999999,Coffee Shop
Humber Bay,55e464c9498e894f452a3a3d,Beauty Boutique by Shoppers Drug Mart,43.622796,-79.482037,Cosmetics Shop
Humber Bay,5622786b498ee2c4ee791dd9,TD Canada Trust Branch and ATM,43.62238,-79.48208580000001,Bank
Humber Bay,57115066498e3021c155c3af,Popeyes Louisiana Kitchen,43.62717563,-79.48798959999999,Fried Chicken Joint
Humber Bay,5b6ed825b9a5a800391bbfbd,SHOPPERS DRUG MART,43.62257,-79.482185,Pharmacy
Humber Bay,51adcfa4498e9d44ff717852,South Beach Shore Club,43.62408755,-79.4848975,Gym / Fitness Center
Humber Bay,4c3f7c81da3dc928c9f2c5b9,Gardiner Expy at Park Lawn,43.6260054,-79.48692413,Intersection
Humber Bay,536844c7498ee0fd7fa8143f,"Ontario, Canada",43.62534029,-79.48835208,Moving Target
Humber Bay,5792af6a498ef680fe3f60a8,LCBO,43.62288505,-79.48266737,Liquor Store
Humber Bay,5296e1fb11d2c462f855ae46,TTC #501 Replacement Bus,43.62284927,-79.48133184,Bus Line
Pelmo Park,4e52bb5618381362f732d8e6,Pelmo Park,43.71193889,-79.51299706,Park
Pelmo Park,4df10b9d52b1faff6326fd7d,Pelmo Community Centre,43.71441852,-79.5198931,Outdoors & Recreation
Alderwood,5a455b412e2680114589aabe,Farm Boy,43.61001249,-79.54758145,Grocery Store
Alderwood,4cae1207632b3704ace36c6e,Pusateri's Fine Foods,43.61218871,-79.55444134,Gourmet Shop
Alderwood,51425f01e4b05786b55dd9be,Dollarama,43.60951043,-79.54768563,Discount Store
Alderwood,56d0e681cd10a69f3ac7554f,Saks Fifth Avenue,43.61213184,-79.55464343,Department Store
Alderwood,4d65488180185481651b5468,The LEGO Store,43.61149520000001,-79.55600518,Toy / Game Store
Alderwood,5956e361f427de4e1b697d4b,Morocco House,43.609938,-79.54902,Moroccan Restaurant
Alderwood,4b0db822f964a520934e23e3,EB Games,43.61148996,-79.5559064,Video Game Store
Alderwood,56c73a10cd104ef535e70bbb,Beaumont Kitchen,43.61195323,-79.55447951,Restaurant
Alderwood,50aa7617e4b041b62b19c7ca,Forever 21,43.61182449,-79.55524147,Clothing Store
Alderwood,51747a34e4b093690f575a91,Shoppes of Alderwood,43.610134,-79.54732,Shopping Mall
Alderwood,4f8082b5e4b0c2f765821f4a,Dollarama,43.608774,-79.547682,Discount Store
Alderwood,4e524eb518a86770c582708a,Brownsline Donuts,43.60785135,-79.54806261,Donut Shop
Alderwood,4be9bb1ab3352d7fd85654d2,Murray's Variety Store,43.60772385,-79.54806332,Convenience Store
Alderwood,4bea61296295c9b6e15d8608,Hwy 427 & Gardiner Expwy.,43.61370819,-79.54869747,Intersection
Alderwood,4cfff32a2685a35de21bc690,Stay Inn,43.61227114,-79.54456687,Hotel
Alderwood,4da61f390437d0a793466fba,Sandown Japanese Market West,43.6070478,-79.54614335,Market
The Kingsway,4ad4c05ff964a52003f720e3,Old Mill Toronto,43.65101108,-79.49322209,American Restaurant
The Kingsway,4bf312546ba2b7133a148977,Étienne Brulé Park,43.65281386,-79.49217796,Park
The Kingsway,4ae335e6f964a520b49121e3,Old Mill Subway Station,43.64989189,-79.49532243,Metro Station
The Kingsway,4c9d225b54c8a1cdf9c4804b,The Spa at The Old Mill,43.65082369,-79.49319047,Spa
The Kingsway,4c2f324e16adc9283e15bd9c,King's Mill Park,43.64933168,-79.49282801,Park
The Kingsway,4bfac43c5efe2d7f1f146e34,Home Smith Park,43.65246858,-79.49878642,Park
Downtown,4c83268151ada1cd2ed82310,Little Norway Park,43.63487142,-79.39847431,Park
Downtown,4bb656c5f562ef3be7003097,Ireland Park,43.63482518,-79.39560104,Sculpture Garden
Downtown,55bbc5e4498ecb12e2d90886,Billy Bishop Airport Tunnel,43.63409654,-79.39724354,Tunnel
Downtown,5548cfb6498ec3e4bdfde59a,Daily Press Juicery,43.65038786,-79.38879174,Juice Bar
Downtown,552696c5498eb8bd3c88ee7f,Green Box Fresh Food Bar,43.65043758,-79.38861138,Sandwich Place
Downtown,505125b2e4b0253ca4e47351,Momofuku Noodle Bar,43.64936587,-79.38621652,Noodle House
Downtown,4abab954f964a520a08220e3,Nota Bene,43.65051204,-79.38813081,American Restaurant
Downtown,50ca02c5245f2d4aa8c2c53d,Ruth's Chris Steak House,43.6499174,-79.38572380000001,Steakhouse
Downtown,4afa1f33f964a520e91622e3,Fune Japanese Restaurant,43.64851366,-79.38645658,Japanese Restaurant
